😀 :grinning_face:
✋🏻 :raised_hand;_light_skin_tone:
✋🏼 :raised_hand;_medium-light_skin_tone:
✋🏽 :raised_hand;_medium_skin_tone:
✋🏾 :raised_hand;_medium-dark_skin_tone:
✋🏿 :raised_hand;_dark_skin_tone:
🖖 :vulcan_salute:
🖖🏻 :vulcan_salute;_light_skin_tone:
🖖🏼 :vulcan_salute;_medium-light_skin_tone:
🖖🏽 :vulcan_salute;_medium_skin_tone:
🖖🏾 :vulcan_salute;_medium-dark_skin_tone:
🖖🏿 :vulcan_salute;_dark_skin_tone:
🫱 :rightwards_hand:
🫱🏻 :rightwards_hand;_light_skin_tone:
🫱🏼 :rightwards_hand;_medium-light_skin_tone:
🫱🏽 :rightwards_hand;_medium_skin_tone:
🫱🏾 :rightwards_hand;_medium-dark_skin_tone:
🫱🏿 :rightwards_hand;_dark_skin_tone:
🫲 :leftwards_hand:
🫲🏻 :leftwards_hand;_light_skin_tone:
🫲🏼 :leftwards_hand;_medium-light_skin_tone:
🫲🏽 :leftwards_hand;_medium_skin_tone:
🫲🏾 :leftwards_hand;_medium-dark_skin_tone:
🫲🏿 :leftwards_hand;_dark_skin_tone:
🫳 :palm_down_hand:
🫳🏻 :palm_down_hand;_light_skin_tone:
🫳🏼 :palm_down_hand;_medium-light_skin_tone:
🫳🏽 :palm_down_hand;_medium_skin_tone:
🫳🏾 :palm_down_hand;_medium-dark_skin_tone:
🫳🏿 :palm_down_hand;_dark_skin_tone:
🫴 :palm_up_hand:
🫴🏻 :palm_up_hand;_light_skin_tone:
🫴🏼 :palm_up_hand;_medium-light_skin_tone:
🫴🏽 :palm_up_hand;_medium_skin_tone:
🫴🏾 :palm_up_hand;_medium-dark_skin_tone:
🫴🏿 :palm_up_hand;_dark_skin_tone:
🫷 :leftwards_pushing_hand:
🫷🏻 :leftwards_pushing_hand;_light_skin_tone:
🫷🏼 :leftwards_pushing_hand;_medium-light_skin_tone:
🫷🏽 :leftwards_pushing_hand;_medium_skin_tone:
🫷🏾 :leftwards_pushing_hand;_medium-dark_skin_tone:
🫷🏿 :leftwards_pushing_hand;_dark_skin_tone:
🫸 :rightwards_pushing_hand:
🫸🏻 :rightwards_pushing_hand;_light_skin_tone:
🫸🏼 :rightwards_pushing_hand;_medium-light_skin_tone:
🫸🏽 :rightwards_pushing_hand;_medium_skin_tone:
🫸🏾 :rightwards_pushing_hand;_medium-dark_skin_tone:
🫸🏿 :rightwards_pushing_hand;_dark_skin_tone:
👌 :OK_hand:
👌🏻 :OK_hand;_light_skin_tone:
👌🏼 :OK_hand;_medium-light_skin_tone:
👌🏽 :OK_hand;_medium_skin_tone:
👌🏾 :OK_hand;_medium-dark_skin_tone:
👌🏿 :OK_hand;_dark_skin_tone:
🤌 :pinched_fingers:
🤌🏻 :pinched_fingers;_light_skin_tone:
🤌🏼 :pinched_fingers;_medium-light_skin_tone:
🤌🏽 :pinched_fingers;_medium_skin_tone:
🤌🏾 :pinched_fingers;_medium-dark_skin_tone:
🤌🏿 :pinched_fingers;_dark_skin_tone:
🤏 :pinching_hand:
🤏🏻 :pinching_hand;_light_skin_tone:
🤏🏼 :pinching_hand;_medium-light_skin_tone:
🤏🏽 :pinching_hand;_medium_skin_tone:
🤏🏾 :pinching_hand;_medium-dark_skin_tone:
🤏🏿 :pinching_hand;_dark_skin_tone:
✌️ :victory_hand:
✌ :victory_hand:
✌🏻 :victory_hand;_light_skin_tone:
✌🏼 :victory_hand;_medium-light_skin_tone:
✌🏽 :victory_hand;_medium_skin_tone:
✌🏾 :victory_hand;_medium-dark_skin_tone:
✌🏿 :victory_hand;_dark_skin_tone:
🤞 :crossed_fingers:
🤞🏻 :crossed_fingers;_light_skin_tone:
🤞🏼 :crossed_fingers;_medium-light_skin_tone:
🤞🏽 :crossed_fingers;_medium_skin_tone:
🤞🏾 :crossed_fingers;_medium-dark_skin_tone:
🤞🏿 :crossed_fingers;_dark_skin_tone:
🫰 :hand_with_index_finger_and_thumb_crossed:
🫰🏻 :hand_with_index_finger_and_thumb_crossed;_light_skin_tone:
🫰🏼 :hand_with_index_finger_and_thumb_crossed;_medium-light_skin_tone:
🫰🏽 :hand_with_index_finger_and_thumb_crossed;_medium_skin_tone:
🫰🏾 :hand_with_index_finger_and_thumb_crossed;_medium-dark_skin_tone:
🫰🏿 :hand_with_index_finger_and_thumb_crossed;_dark_skin_tone:
🤟 :love-you_gesture:
🤟🏻 :love-you_gesture;_light_skin_tone:
🤟🏼 :love-you_gesture;_medium-light_skin_tone:
🤟🏽 :love-you_gesture;_medium_skin_tone:
🤟🏾 :love-you_gesture;_medium-dark_skin_tone:
🤟🏿 :love-you_gesture;_dark_skin_tone:
🤘 :sign_of_the_horns:
🤘🏻 :sign_of_the_horns;_light_skin_tone:
🤘🏼 :sign_of_the_horns;_medium-light_skin_tone:
🤘🏽 :sign_of_the_horns;_medium_skin_tone:
🤘🏾 :sign_of_the_horns;_medium-dark_skin_tone:
🤘🏿 :sign_of_the_horns;_dark_skin_tone:
🤙 :call_me_hand:
🤙🏻 :call_me_hand;_light_skin_tone:
🤙🏼 :call_me_hand;_medium-light_skin_tone:
🤙🏽 :call_me_hand;_medium_skin_tone:
🤙🏾 :call_me_hand;_medium-dark_skin_tone:
🤙🏿 :call_me_hand;_dark_skin_tone:
👈 :backhand_index_pointing_left:
👈🏻 :backhand_index_pointing_left;_light_skin_tone:
👈🏼 :backhand_index_pointing_left;_medium-light_skin_tone:
👈🏽 :backhand_index_pointing_left;_medium_skin_tone:
👈🏾 :backhand_index_pointing_left;_medium-dark_skin_tone:
👈🏿 :backhand_index_pointing_left;_dark_skin_tone:
👉 :backhand_index_pointing_right:
👉🏻 :backhand_index_pointing_right;_light_skin_tone:
👉🏼 :backhand_index_pointing_right;_medium-light_skin_tone:
👉🏽 :backhand_index_pointing_right;_medium_skin_tone:
👉🏾 :backhand_index_pointing_right;_medium-dark_skin_tone:
👉🏿 :backhand_index_pointing_right;_dark_skin_tone:
👆 :backhand_index_pointing_up:
👆🏻 :backhand_index_pointing_up;_light_skin_tone:
👆🏼 :backhand_index_pointing_up;_medium-light_skin_tone:
👆🏽 :backhand_index_pointing_up;_medium_skin_tone:
👆🏾 :backhand_index_pointing_up;_medium-dark_skin_tone:
👆🏿 :backhand_index_pointing_up;_dark_skin_tone:
🖕 :middle_finger:
🖕🏻 :middle_finger;_light_skin_tone:
🖕🏼 :middle_finger;_medium-light_skin_tone:
🖕🏽 :middle_finger;_medium_skin_tone:
🖕🏾 :middle_finger;_medium-dark_skin_tone:
🖕🏿 :middle_finger;_dark_skin_tone:
👇 :backhand_index_pointing_down:
👇🏻 :backhand_index_pointing_down;_light_skin_tone:
👇🏼 :backhand_index_pointing_down;_medium-light_skin_tone:
👇🏽 :backhand_index_pointing_down;_medium_skin_tone:
👇🏾 :backhand_index_pointing_down;_medium-dark_skin_tone:
👇🏿 :backhand_index_pointing_down;_dark_skin_tone:
☝️ :index_pointing_up:
☝ :index_pointing_up:
☝🏻 :index_pointing_up;_light_skin_tone:
☝🏼 :index_pointing_up;_medium-light_skin_tone:
☝🏽 :index_pointing_up;_medium_skin_tone:
☝🏾 :index_pointing_up;_medium-dark_skin_tone:
☝🏿 :index_pointing_up;_dark_skin_tone:
🫵 :index_pointing_at_the_viewer:
🫵🏻 :index_pointing_at_the_viewer;_light_skin_tone:
🫵🏼 :index_pointing_at_the_viewer;_medium-light_skin_tone:
🫵🏽 :index_pointing_at_the_viewer;_medium_skin_tone:
🫵🏾 :index_pointing_at_the_viewer;_medium-dark_skin_tone:
🫵🏿 :index_pointing_at_the_viewer;_dark_skin_tone:
👍 :thumbs_up:
👍🏻 :thumbs_up;_light_skin_tone:
👍🏼 :thumbs_up;_medium-light_skin_tone:
👍🏽 :thumbs_up;_medium_skin_tone:
👍🏾 :thumbs_up;_medium-dark_skin_tone:
👍🏿 :thumbs_up;_dark_skin_tone:
👎 :thumbs_down:
👎🏻 :thumbs_down;_light_skin_tone:
👎🏼 :thumbs_down;_medium-light_skin_tone:
👎🏽 :thumbs_down;_medium_skin_tone:
👎🏾 :thumbs_down;_medium-dark_skin_tone:
👎🏿 :thumbs_down;_dark_skin_tone:
✊ :raised_fist:
✊🏻 :raised_fist;_light_skin_tone:
✊🏼 :raised_fist;_medium-light_skin_tone:
✊🏽 :raised_fist;_medium_skin_tone:
✊🏾 :raised_fist;_medium-dark_skin_tone:
✊🏿 :raised_fist;_dark_skin_tone:
👊 :oncoming_fist:
👊🏻 :oncoming_fist;_light_skin_tone:
👊🏼 :oncoming_fist;_medium-light_skin_tone:
👊🏽 :oncoming_fist;_medium_skin_tone:
👊🏾 :oncoming_fist;_medium-dark_skin_tone:
👊🏿 :oncoming_fist;_dark_skin_tone:
🤛 :left-facing_fist:
🤛🏻 :left-facing_fist;_light_skin_tone:
🤛🏼 :left-facing_fist;_medium-light_skin_tone:
🤛🏽 :left-facing_fist;_medium_skin_tone:
🤛🏾 :left-facing_fist;_medium-dark_skin_tone:
🤛🏿 :left-facing_fist;_dark_skin_tone:
🤜 :right-facing_fist:
🤜🏻 :right-facing_fist;_light_skin_tone:
🤜🏼 :right-facing_fist;_medium-light_skin_tone:
🤜🏽 :right-facing_fist;_medium_skin_tone:
🤜🏾 :right-facing_fist;_medium-dark_skin_tone:
🤜🏿 :right-facing_fist;_dark_skin_tone:
👏 :clapping_hands:
👏🏻 :clapping_hands;_light_skin_tone:
👏🏼 :clapping_hands;_medium-light_skin_tone:
👏🏽 :clapping_hands;_medium_skin_tone:
👏🏾 :clapping_hands;_medium-dark_skin_tone:
👏🏿 :clapping_hands;_dark_skin_tone:
🙌 :raising_hands:
🙌🏻 :raising_hands;_light_skin_tone:
🙌🏼 :raising_hands;_medium-light_skin_tone:
🙌🏽 :raising_hands;_medium_skin_tone:
🙌🏾 :raising_hands;_medium-dark_skin_tone:
🙌🏿 :raising_hands;_dark_skin_tone:
🫶 :heart_hands:
🫶🏻 :heart_hands;_light_skin_tone:
🫶🏼 :heart_hands;_medium-light_skin_tone:
🫶🏽 :heart_hands;_medium_skin_tone:
🫶🏾 :heart_hands;_medium-dark_skin_tone:
🫶🏿 :heart_hands;_dark_skin_tone:
👐 :open_hands:
👐🏻 :open_hands;_light_skin_tone:
👐🏼 :open_hands;_medium-light_skin_tone:
👐🏽 :open_hands;_medium_skin_tone:
👐🏾 :open_hands;_medium-dark_skin_tone:
👐🏿 :open_hands;_dark_skin_tone:
🤲 :palms_up_together:
🤲🏻 :palms_up_together;_light_skin_tone:
🤲🏼 :palms_up_together;_medium-light_skin_tone:
🤲🏽 :palms_up_together;_medium_skin_tone:
🤲🏾 :palms_up_together;_medium-dark_skin_tone:
🤲🏿 :palms_up_together;_dark_skin_tone:
🤝 :handshake:
🤝🏻 :handshake;_light_skin_tone:
🤝🏼 :handshake;_medium-light_skin_tone:
🤝🏽 :handshake;_medium_skin_tone:
🤝🏾 :handshake;_medium-dark_skin_tone:
🤝🏿 :handshake;_dark_skin_tone:
🫱🏻‍🫲🏼 :handshake;_light_skin_tone,_medium-light_skin_tone:
🫱🏻‍🫲🏽 :handshake;_light_skin_tone,_medium_skin_tone:
🫱🏻‍🫲🏾 :handshake;_light_skin_tone,_medium-dark_skin_tone:
🫱🏻‍🫲🏿 :handshake;_light_skin_tone,_dark_skin_tone:
🫱🏼‍🫲🏻 :handshake;_medium-light_skin_tone,_light_skin_tone:
🫱🏼‍🫲🏽 :handshake;_medium-light_skin_tone,_medium_skin_tone:
🫱🏼‍🫲🏾 :handshake;_medium-light_skin_tone,_medium-dark_skin_tone:
🫱🏼‍🫲🏿 :handshake;_medium-light_skin_tone,_dark_skin_tone:
🫱🏽‍🫲🏻 :handshake;_medium_skin_tone,_light_skin_tone:
🫱🏽‍🫲🏼 :handshake;_medium_skin_tone,_medium-light_skin_tone:
🫱🏽‍🫲🏾 :handshake;_medium_skin_tone,_medium-dark_skin_tone:
🫱🏽‍🫲🏿 :handshake;_medium_skin_tone,_dark_skin_tone:
🫱🏾‍🫲🏻 :handshake;_medium-dark_skin_tone,_light_skin_tone:
🫱🏾‍🫲🏼 :handshake;_medium-dark_skin_tone,_medium-light_skin_tone:
🫱🏾‍🫲🏽 :handshake;_medium-dark_skin_tone,_medium_skin_tone:
🫱🏾‍🫲🏿 :handshake;_medium-dark_skin_tone,_dark_skin_tone:
🫱🏿‍🫲🏻 :handshake;_dark_skin_tone,_light_skin_tone:
🫱🏿‍🫲🏼 :handshake;_dark_skin_tone,_medium-light_skin_tone:
🫱🏿‍🫲🏽 :handshake;_dark_skin_tone,_medium_skin_tone:
🫱🏿‍🫲🏾 :handshake;_dark_skin_tone,_medium-dark_skin_tone:
🙏 :folded_hands:
🙏🏻 :folded_hands;_light_skin_tone:
🙏🏼 :folded_hands;_medium-light_skin_tone:
🙏🏽 :folded_hands;_medium_skin_tone:
🙏🏾 :folded_hands;_medium-dark_skin_tone:
🙏🏿 :folded_hands;_dark_skin_tone:
✍️ :writing_hand:
✍ :writing_hand:
✍🏻 :writing_hand;_light_skin_tone:
✍🏼 :writing_hand;_medium-light_skin_tone:
✍🏽 :writing_hand;_medium_skin_tone:
✍🏾 :writing_hand;_medium-dark_skin_tone:
✍🏿 :writing_hand;_dark_skin_tone:
💅 :nail_polish:
💅🏻 :nail_polish;_light_skin_tone:
💅🏼 :nail_polish;_medium-light_skin_tone:
💅🏽 :nail_polish;_medium_skin_tone:
💅🏾 :nail_polish;_medium-dark_skin_tone:
💅🏿 :nail_polish;_dark_skin_tone:
🤳 :selfie:
🤳🏻 :selfie;_light_skin_tone:
🤳🏼 :selfie;_medium-light_skin_tone:
🤳🏽 :selfie;_medium_skin_tone:
🤳🏾 :selfie;_medium-dark_skin_tone:
🤳🏿 :selfie;_dark_skin_tone:
💪 :flexed_biceps:
💪🏻 :flexed_biceps;_light_skin_tone:
💪🏼 :flexed_biceps;_medium-light_skin_tone:
💪🏽 :flexed_biceps;_medium_skin_tone:
💪🏾 :flexed_biceps;_medium-dark_skin_tone:
💪🏿 :flexed_biceps;_dark_skin_tone:
🦾 :mechanical_arm:
🦿 :mechanical_leg:
🦵 :leg:
🦵🏻 :leg;_light_skin_tone:
🦵🏼 :leg;_medium-light_skin_tone:
🦵🏽 :leg;_medium_skin_tone:
🦵🏾 :leg;_medium-dark_skin_tone:
🦵🏿 :leg;_dark_skin_tone:
🦶 :foot:
🦶🏻 :foot;_light_skin_tone:
🦶🏼 :foot;_medium-light_skin_tone:
🦶🏽 :foot;_medium_skin_tone:
🦶🏾 :foot;_medium-dark_skin_tone:
🦶🏿 :foot;_dark_skin_tone:
👂 :ear:
👂🏻 :ear;_light_skin_tone:
👂🏼 :ear;_medium-light_skin_tone:
👂🏽 :ear;_medium_skin_tone:
👂🏾 :ear;_medium-dark_skin_tone:
👂🏿 :ear;_dark_skin_tone:
🦻 :ear_with_hearing_aid:
🦻🏻 :ear_with_hearing_aid;_light_skin_tone:
🦻🏼 :ear_with_hearing_aid;_medium-light_skin_tone:
🦻🏽 :ear_with_hearing_aid;_medium_skin_tone:
🦻🏾 :ear_with_hearing_aid;_medium-dark_skin_tone:
🦻🏿 :ear_with_hearing_aid;_dark_skin_tone:
👃 :nose:
👃🏻 :nose;_light_skin_tone:
👃🏼 :nose;_medium-light_skin_tone:
👃🏽 :nose;_medium_skin_tone:
👃🏾 :nose;_medium-dark_skin_tone:
👃🏿 :nose;_dark_skin_tone:
🧠 :brain:
🫀 :anatomical_heart:
🫁 :lungs:
🦷 :tooth:
🦴 :bone:
👀 :eyes:
👁️ :eye:
👁 :eye:
👅 :tongue:
👄 :mouth:
🫦 :biting_lip:
👶 :baby:
👶🏻 :baby;_light_skin_tone:
👶🏼 :baby;_medium-light_skin_tone:
👶🏽 :baby;_medium_skin_tone:
👶🏾 :baby;_medium-dark_skin_tone:
👶🏿 :baby;_dark_skin_tone:
🧒 :child:
🧒🏻 :child;_light_skin_tone:
🧒🏼 :child;_medium-light_skin_tone:
🧒🏽 :child;_medium_skin_tone:
🧒🏾 :child;_medium-dark_skin_tone:
🧒🏿 :child;_dark_skin_tone:
👦 :boy:
👦🏻 :boy;_light_skin_tone:
👦🏼 :boy;_medium-light_skin_tone:
👦🏽 :boy;_medium_skin_tone:
👦🏾 :boy;_medium-dark_skin_tone:
👦🏿 :boy;_dark_skin_tone:
👧 :girl:
👧🏻 :girl;_light_skin_tone:
👧🏼 :girl;_medium-light_skin_tone:
👧🏽 :girl;_medium_skin_tone:
👧🏾 :girl;_medium-dark_skin_tone:
👧🏿 :girl;_dark_skin_tone:
🧑 :person:
🧑🏻 :person;_light_skin_tone:
🧑🏼 :person;_medium-light_skin_tone:
🧑🏽 :person;_medium_skin_tone:
🧑🏾 :person;_medium-dark_skin_tone:
🧑🏿 :person;_dark_skin_tone:
👱 :person;_blond_hair:
👱🏻 :person;_light_skin_tone,_blond_hair:
👱🏼 :person;_medium-light_skin_tone,_blond_hair:
👱🏽 :person;_medium_skin_tone,_blond_hair:
👱🏾 :person;_medium-dark_skin_tone,_blond_hair:
👱🏿 :person;_dark_skin_tone,_blond_hair:
👨 :man:
👨🏻 :man;_light_skin_tone:
👨🏼 :man;_medium-light_skin_tone:
👨🏽 :man;_medium_skin_tone:
👨🏾 :man;_medium-dark_skin_tone:
👨🏿 :man;_dark_skin_tone:
🧔 :person;_beard:
🧔🏻 :person;_light_skin_tone,_beard:
🧔🏼 :person;_medium-light_skin_tone,_beard:
🧔🏽 :person;_medium_skin_tone,_beard:
🧔🏾 :person;_medium-dark_skin_tone,_beard:
🧔🏿 :person;_dark_skin_tone,_beard:
🧔‍♂️ :man;_beard:
🧔‍♂ :man;_beard:
🧔🏻‍♂️ :man;_light_skin_tone,_beard:
🧔🏻‍♂ :man;_light_skin_tone,_beard:
🧔🏼‍♂️ :man;_medium-light_skin_tone,_beard:
🧔🏼‍♂ :man;_medium-light_skin_tone,_beard:
🧔🏽‍♂️ :man;_medium_skin_tone,_beard:
🧔🏽‍♂ :man;_medium_skin_tone,_beard:
🧔🏾‍♂️ :man;_medium-dark_skin_tone,_beard:
🧔🏾‍♂ :man;_medium-dark_skin_tone,_beard:
🧔🏿‍♂️ :man;_dark_skin_tone,_beard:
🧔🏿‍♂ :man;_dark_skin_tone,_beard:
🧔‍♀️ :woman;_beard:
🧔‍♀ :woman;_beard:
🧔🏻‍♀️ :woman;_light_skin_tone,_beard:
🧔🏻‍♀ :woman;_light_skin_tone,_beard:
🧔🏼‍♀️ :woman;_medium-light_skin_tone,_beard:
🧔🏼‍♀ :woman;_medium-light_skin_tone,_beard:
🧔🏽‍♀️ :woman;_medium_skin_tone,_beard:
🧔🏽‍♀ :woman;_medium_skin_tone,_beard:
🧔🏾‍♀️ :woman;_medium-dark_skin_tone,_beard:
🧔🏾‍♀ :woman;_medium-dark_skin_tone,_beard:
🧔🏿‍♀️ :woman;_dark_skin_tone,_beard:
🧔🏿‍♀ :woman;_dark_skin_tone,_beard:
👨‍🦰 :man;_red_hair:
👨🏻‍🦰 :man;_light_skin_tone,_red_hair:
👨🏼‍🦰 :man;_medium-light_skin_tone,_red_hair:
👨🏽‍🦰 :man;_medium_skin_tone,_red_hair:
👨🏾‍🦰 :man;_medium-dark_skin_tone,_red_hair:
👨🏿‍🦰 :man;_dark_skin_tone,_red_hair:
👨‍🦱 :man;_curly_hair:
👨🏻‍🦱 :man;_light_skin_tone,_curly_hair:
👨🏼‍🦱 :man;_medium-light_skin_tone,_curly_hair:
👨🏽‍🦱 :man;_medium_skin_tone,_curly_hair:
👨🏾‍🦱 :man;_medium-dark_skin_tone,_curly_hair:
👨🏿‍🦱 :man;_dark_skin_tone,_curly_hair:
👨‍🦳 :man;_white_hair:
👨🏻‍🦳 :man;_light_skin_tone,_white_hair:
👨🏼‍🦳 :man;_medium-light_skin_tone,_white_hair:
👨🏽‍🦳 :man;_medium_skin_tone,_white_hair:
👨🏾‍🦳 :man;_medium-dark_skin_tone,_white_hair:
👨🏿‍🦳 :man;_dark_skin_tone,_white_hair:
👨‍🦲 :man;_bald:
👨🏻‍🦲 :man;_light_skin_tone,_bald:
👨🏼‍🦲 :man;_medium-light_skin_tone,_bald:
👨🏽‍🦲 :man;_medium_skin_tone,_bald:
👨🏾‍🦲 :man;_medium-dark_skin_tone,_bald:
👨🏿‍🦲 :man;_dark_skin_tone,_bald:
👩 :woman:
👩🏻 :woman;_light_skin_tone:
👩🏼 :woman;_medium-light_skin_tone:
👩🏽 :woman;_medium_skin_tone:
👩🏾 :woman;_medium-dark_skin_tone:
👩🏿 :woman;_dark_skin_tone:
👩‍🦰 :woman;_red_hair:
👩🏻‍🦰 :woman;_light_skin_tone,_red_hair:
👩🏼‍🦰 :woman;_medium-light_skin_tone,_red_hair:
👩🏽‍🦰 :woman;_medium_skin_tone,_red_hair:
👩🏾‍🦰 :woman;_medium-dark_skin_tone,_red_hair:
👩🏿‍🦰 :woman;_dark_skin_tone,_red_hair:
🧑‍🦰 :person;_red_hair:
🧑🏻‍🦰 :person;_light_skin_tone,_red_hair:
🧑🏼‍🦰 :person;_medium-light_skin_tone,_red_hair:
🧑🏽‍🦰 :person;_medium_skin_tone,_red_hair:
🧑🏾‍🦰 :person;_medium-dark_skin_tone,_red_hair:
🧑🏿‍🦰 :person;_dark_skin_tone,_red_hair:
👩‍🦱 :woman;_curly_hair:
👩🏻‍🦱 :woman;_light_skin_tone,_curly_hair:
👩🏼‍🦱 :woman;_medium-light_skin_tone,_curly_hair:
👩🏽‍🦱 :woman;_medium_skin_tone,_curly_hair:
👩🏾‍🦱 :woman;_medium-dark_skin_tone,_curly_hair:
👩🏿‍🦱 :woman;_dark_skin_tone,_curly_hair:
🧑‍🦱 :person;_curly_hair:
